site_id,date,reason
2205,2002-12-15,missing_observed_percent_bleaching
2206,1998-09-19,missing_observed_percent_bleaching
2207,2000-09-17,missing_observed_percent_bleaching
2207,2002-12-15,missing_observed_percent_bleaching
2208,2000-09-17,missing_observed_percent_bleaching
2208,2001-12-16,missing_observed_percent_bleaching
2208,2002-12-15,missing_observed_percent_bleaching
2209,1998-09-19,missing_observed_percent_bleaching
2210,1998-09-19,missing_observed_percent_bleaching
2211,1999-09-27,missing_observed_percent_bleaching
2212,2002-12-15,missing_observed_percent_bleaching
2213,1999-09-30,missing_observed_percent_bleaching
2214,2002-12-15,missing_observed_percent_bleaching
2214,2004-12-15,missing_observed_percent_bleaching
2216,2005-06-15,missing_observed_percent_bleaching
2217,2005-07-15,missing_observed_percent_bleaching
2238,1987-08-15,missing_observed_percent_bleaching
2239,1987-08-15,missing_observed_percent_bleaching
2240,2010-08-15,missing_observed_percent_bleaching
2303,1987-11-15,missing_observed_percent_bleaching
2304,2010-11-15,missing_observed_percent_bleaching
2328,1999-05-15,missing_observed_percent_bleaching
2328,2000-05-15,missing_observed_percent_bleaching
2329,1999-05-15,missing_observed_percent_bleaching
2330,2000-04-09,missing_observed_percent_bleaching
2330,2001-10-24,missing_observed_percent_bleaching
2331,2004-04-20,missing_observed_percent_bleaching
2366,2001-08-15,missing_observed_percent_bleaching
2367,2007-08-15,missing_observed_percent_bleaching
2373,2010-03-15,missing_observed_percent_bleaching
2396,1999-11-15,missing_observed_percent_bleaching
2397,1999-11-15,missing_observed_percent_bleaching
2402,1987-03-15,missing_observed_percent_bleaching
2403,1983-06-15,missing_observed_percent_bleaching
2403,1984-06-15,missing_observed_percent_bleaching
2404,1983-06-15,missing_observed_percent_bleaching
2405,1983-06-15,missing_observed_percent_bleaching
2406,1983-06-15,missing_observed_percent_bleaching
2408,1983-06-15,missing_observed_percent_bleaching
2408,1998-06-15,missing_observed_percent_bleaching
2409,1994-06-15,missing_observed_percent_bleaching
2410,1994-06-15,missing_observed_percent_bleaching
2448,2001-03-15,missing_observed_percent_bleaching
2449,2001-03-15,missing_observed_percent_bleaching
2450,2001-03-15,missing_observed_percent_bleaching
2451,2001-03-15,missing_observed_percent_bleaching
